Time	Channel A	Channel B	Channel C
(us)	(V)	(V)	(V)

-45.01018742	0.00000000	0.00000000	0.00000000
-45.00618742	0.00000000	0.00000000	0.00000000
-45.00218742	0.00000000	0.00000000	0.00000000
-44.99818742	0.00000000	0.00000000	0.00000000
-44.99418742	0.00000000	0.00000000	0.00000000
-44.99018742	0.00000000	0.00000000	0.00000000
-44.98618742	0.00000000	0.00000000	0.00000000
-44.98218742	0.00000000	0.00000000	0.00000000
-44.97818742	0.00000000	0.00000000	0.00000000
-44.97418742	0.00000000	0.00000000	0.00000000
-44.97018742	0.00000000	0.00000000	0.00000000
-44.96618742	0.00000000	0.00000000	0.00000000
-44.96218742	0.00000000	0.00000000	0.00000000
-44.95818742	0.00000000	0.00000000	0.00000000
-44.95418742	0.00000000	0.00000000	0.00000000
-44.95018742	0.00000000	0.00000000	0.00000000
-44.94618742	0.00000000	0.00000000	0.00000000
-44.94218742	0.00000000	0.00000000	0.00000000
-44.93818742	0.00000000	0.00000000	0.00000000
-44.93418742	0.00000000	0.00000000	0.00000000
-44.93018742	0.00000000	0.00000000	0.00000000
-44.92618742	0.00000000	0.00000000	0.00000000
-44.92218742	0.00000000	0.00000000	0.00000000
-44.91818742	0.00000000	0.00000000	0.00000000
-44.91418742	0.00000000	0.00000000	0.00000000
-44.91018742	0.00000000	0.00000000	0.00000000
-44.90618742	0.00000000	0.00000000	0.00000000
-44.90218742	0.00000000	0.00000000	0.00000000
-44.89818742	0.00000000	0.00000000	0.00000000
-44.89418742	0.00000000	0.00000000	0.00000000
-44.89018742	0.00000000	0.00000000	0.00000000
-44.88618742	0.00000000	0.00000000	0.00000000
-44.88218742	0.00000000	0.00000000	0.00000000
-44.87818742	0.00000000	0.00000000	0.00000000
-44.87418742	0.00000000	0.00000000	0.00000000
-44.87018742	0.00000000	0.00000000	0.00000000
-44.86618742	0.00000000	0.00000000	0.00000000
-44.86218742	0.00000000	0.00000000	0.00000000
-44.85818742	0.00000000	0.00000000	0.00000000
-44.85418742	0.00000000	0.00000000	0.00000000
-44.85018742	0.00000000	0.00000000	0.00000000
-44.84618742	0.00000000	0.00000000	0.00000000
-44.84218742	0.00000000	0.00000000	0.00000000
-44.83818742	0.00000000	0.00000000	0.00000000
-44.83418742	0.00000000	0.00000000	0.00000000
-44.83018742	0.00000000	0.00000000	0.00000000
-44.82618742	0.00000000	0.00000000	0.00000000
-44.82218742	0.00000000	0.00000000	0.00000000
-44.81818742	0.00000000	0.00000000	0.00000000
-44.81418742	0.00000000	0.00000000	0.00000000
-44.81018742	0.00000000	0.00000000	0.00000000
-44.80618742	0.00000000	0.00000000	0.00000000
-44.80218742	0.00000000	0.00000000	0.00000000
-44.79818742	0.00000000	0.00000000	0.00000000
-44.79418742	0.00000000	0.00000000	0.00000000
-44.79018742	0.00000000	0.00000000	0.00000000
-44.78618742	0.00000000	0.00000000	0.00000000
-44.78218742	0.00000000	0.00000000	0.00000000
-44.77818742	0.00000000	0.00000000	0.00000000
-44.77418742	0.00000000	0.00000000	0.00000000
-44.77018742	0.00000000	0.00000000	0.00000000
-44.76618742	0.00000000	0.00000000	0.00000000
-44.76218742	0.00000000	0.00000000	0.00000000
-44.75818742	0.00000000	0.00000000	0.00000000
-44.75418742	0.00000000	0.00000000	0.00000000
-44.75018742	0.00000000	0.00000000	0.00000000
-44.74618742	0.00000000	0.00000000	0.00000000
-44.74218742	0.00000000	0.00000000	0.00000000
-44.73818742	0.00000000	0.00000000	0.00000000
-44.73418742	0.00000000	0.00000000	0.00000000
-44.73018742	0.00000000	0.00000000	0.00000000
-44.72618742	0.00000000	0.00000000	0.00000000
-44.72218742	0.00000000	0.00000000	0.00000000
-44.71818742	0.00000000	0.00000000	0.00000000
-44.71418742	0.00000000	0.00000000	0.00000000
-44.71018742	0.00000000	0.00000000	0.00000000
-44.70618742	0.00000000	0.00000000	0.00000000
-44.70218743	0.00000000	0.00000000	0.00000000
-44.69818743	0.00000000	0.00000000	0.00000000
-44.69418743	0.00000000	0.00000000	0.00000000
-44.69018743	0.00000000	0.00000000	0.00000000
-44.68618743	0.00000000	0.00000000	0.00000000
-44.68218743	0.00000000	0.00000000	0.00000000
-44.67818743	0.00000000	0.00000000	0.00000000
-44.67418743	0.00000000	0.00000000	0.00000000
-44.67018743	0.00000000	0.00000000	0.00000000
-44.66618743	0.00000000	0.00000000	0.00000000
-44.66218743	0.00000000	0.00000000	0.00000000
-44.65818743	0.00000000	0.00000000	0.00000000
-44.65418743	0.00000000	0.00000000	0.00000000
-44.65018743	0.00000000	0.00000000	0.00000000
-44.64618743	0.00000000	0.00000000	0.00000000
-44.64218743	0.00000000	0.00000000	0.00000000
-44.63818743	0.00000000	0.00000000	0.00000000
-44.63418743	0.00000000	0.00000000	0.00000000
-44.63018743	0.00000000	0.00000000	0.00000000
-44.62618743	0.00000000	0.00000000	0.00000000
-44.62218743	0.00000000	0.00000000	0.00000000
-44.61818743	0.00000000	0.00000000	0.00000000
-44.61418743	0.00000000	0.00000000	0.00000000
-44.61018743	0.00000000	0.00000000	0.00000000
-44.60618743	0.00000000	0.00000000	0.00000000
-44.60218743	0.00000000	0.00000000	0.00000000
-44.59818743	0.00000000	0.00000000	0.00000000
-44.59418743	0.00000000	0.00000000	0.00000000
-44.59018743	0.00000000	0.00000000	0.00000000
-44.58618743	0.00000000	0.00000000	0.00000000
-44.58218743	0.00000000	0.00000000	0.00000000
-44.57818743	0.00000000	0.00000000	0.00000000
-44.57418743	0.00000000	0.00000000	0.00000000
-44.57018743	0.00000000	0.00000000	0.00000000
-44.56618743	0.00000000	0.00000000	0.00000000
-44.56218743	0.00000000	0.00000000	0.00000000
-44.55818743	0.00000000	0.00000000	0.00000000
-44.55418743	0.00000000	0.00000000	0.00000000
-44.55018743	0.00000000	0.00000000	0.00000000
-44.54618743	0.00000000	0.00000000	0.00000000
-44.54218743	0.00000000	0.00000000	0.00000000
-44.53818743	0.00000000	0.00000000	0.00000000
-44.53418743	0.00000000	0.00000000	0.00000000
-44.53018743	0.00000000	0.00000000	0.00000000
-44.52618743	0.00000000	0.00000000	0.00000000
-44.52218743	0.00000000	0.00000000	0.00000000
-44.51818743	0.00000000	0.00000000	0.00000000
-44.51418743	0.00000000	0.00000000	0.00000000
-44.51018743	0.00000000	0.00000000	0.00000000
-44.50618743	0.00000000	0.00000000	0.00000000
-44.50218743	0.00000000	0.00000000	0.00000000
-44.49818743	0.00000000	0.00000000	0.00000000
-44.49418743	0.00000000	0.00000000	0.00000000
-44.49018743	0.00000000	0.00000000	0.00000000
-44.48618743	0.00000000	0.00000000	0.00000000
-44.48218743	0.00000000	0.00000000	0.00000000
-44.47818743	0.00000000	0.00000000	0.00000000
-44.47418743	0.00000000	0.00000000	0.00000000
-44.47018743	0.00000000	0.00000000	0.00000000
-44.46618743	0.00000000	0.00000000	0.00000000
-44.46218743	0.00000000	0.00000000	0.00000000
-44.45818743	0.00000000	0.00000000	0.00000000
-44.45418743	0.00000000	0.00000000	0.00000000
-44.45018743	0.00000000	0.00000000	0.00000000
-44.44618743	0.00000000	0.00000000	0.00000000
-44.44218743	0.00000000	0.00000000	0.00000000
-44.43818743	0.00000000	0.00000000	0.00000000
-44.43418743	0.00000000	0.00000000	0.00000000
-44.43018743	0.00000000	0.00000000	0.00000000
-44.42618743	0.00000000	0.00000000	0.00000000
-44.42218743	0.00000000	0.00000000	0.00000000
-44.41818743	0.00000000	0.00000000	0.00000000
-44.41418743	0.00000000	0.00000000	0.00000000
-44.41018743	0.00000000	0.00000000	0.00000000
-44.40618743	0.00000000	0.00000000	0.00000000
-44.40218743	0.00000000	0.00000000	0.00000000
-44.39818743	0.00000000	0.00000000	0.00000000
-44.39418743	0.00000000	0.00000000	0.00000000
-44.39018743	0.00000000	0.00000000	0.00000000
-44.38618743	0.00000000	0.00000000	0.00000000
-44.38218743	0.00000000	0.00000000	0.00000000
-44.37818743	0.00000000	0.00000000	0.00000000
-44.37418743	0.00000000	0.00000000	0.00000000
-44.37018743	0.00000000	0.00000000	0.00000000
-44.36618743	0.00000000	0.00000000	0.00000000
-44.36218743	0.00000000	0.00000000	0.00000000
-44.35818743	0.00000000	0.00000000	0.00000000
-44.35418743	0.00000000	0.00000000	0.00000000
-44.35018743	0.00000000	0.00000000	0.00000000
-44.34618744	0.00000000	0.00000000	0.00000000
-44.34218744	0.00000000	0.00000000	0.00000000
-44.33818744	0.00000000	0.00000000	0.00000000
-44.33418744	0.00000000	0.00000000	0.00000000
-44.33018744	0.00000000	0.00000000	0.00000000
-44.32618744	0.00000000	0.00000000	0.00000000
-44.32218744	0.00000000	0.00000000	0.00000000
-44.31818744	0.00000000	0.00000000	0.00000000
-44.31418744	0.00000000	0.00000000	0.00000000
-44.31018744	0.00000000	0.00000000	0.00000000
-44.30618744	0.00000000	0.00000000	0.00000000
-44.30218744	0.00000000	0.00000000	0.00000000
-44.29818744	0.00000000	0.00000000	0.00000000
-44.29418744	0.00000000	0.00000000	0.00000000
-44.29018744	0.00000000	0.00000000	0.00000000
-44.28618744	0.00000000	0.00000000	0.00000000
-44.28218744	0.00000000	0.00000000	0.00000000
-44.27818744	0.00000000	0.00000000	0.00000000
-44.27418744	0.00000000	0.00000000	0.00000000
-44.27018744	0.00000000	0.00000000	0.00000000
-44.26618744	0.00000000	0.00000000	0.00000000
-44.26218744	0.00000000	0.00000000	0.00000000
-44.25818744	0.00000000	0.00000000	0.00000000
-44.25418744	0.00000000	0.00000000	0.00000000
-44.25018744	0.00000000	0.00000000	0.00000000
-44.24618744	0.00000000	0.00000000	0.00000000
-44.24218744	0.00000000	0.00000000	0.00000000
-44.23818744	0.00000000	0.00000000	0.00000000
-44.23418744	0.00000000	0.00000000	0.00000000
-44.23018744	0.00000000	0.00000000	0.00000000
-44.22618744	0.00000000	0.00000000	0.00000000
-44.22218744	0.00000000	0.00000000	0.00000000
-44.21818744	0.00000000	0.00000000	0.00000000
-44.21418744	0.00000000	0.00000000	0.00000000
-44.21018744	0.00000000	0.00000000	0.00000000
