Time	Channel A	Channel B	Channel C
(us)	(V)	(V)	(V)

-45.01008569	0.00000000	0.00000000	0.00000000
-45.00608569	0.00000000	0.00000000	0.00000000
-45.00208569	0.00000000	0.00000000	0.00000000
-44.99808569	0.00000000	0.00000000	0.00000000
-44.99408569	0.00000000	0.00000000	0.00000000
-44.99008569	0.00000000	0.00000000	0.00000000
-44.98608569	0.00000000	0.00000000	0.00000000
-44.98208569	0.00000000	0.00000000	0.00000000
-44.97808569	0.00000000	0.00000000	0.00000000
-44.97408569	0.00000000	0.00000000	0.00000000
-44.97008569	0.00000000	0.00000000	0.00000000
-44.96608569	0.00000000	0.00000000	0.00000000
-44.96208569	0.00000000	0.00000000	0.00000000
-44.95808569	0.00000000	0.00000000	0.00000000
-44.95408569	0.00000000	0.00000000	0.00000000
-44.95008569	0.00000000	0.00000000	0.00000000
-44.94608570	0.00000000	0.00000000	0.00000000
-44.94208570	0.00000000	0.00000000	0.00000000
-44.93808570	0.00000000	0.00000000	0.00000000
-44.93408570	0.00000000	0.00000000	0.00000000
-44.93008570	0.00000000	0.00000000	0.00000000
-44.92608570	0.00000000	0.00000000	0.00000000
-44.92208570	0.00000000	0.00000000	0.00000000
-44.91808570	0.00000000	0.00000000	0.00000000
-44.91408570	0.00000000	0.00000000	0.00000000
-44.91008570	0.00000000	0.00000000	0.00000000
-44.90608570	0.00000000	0.00000000	0.00000000
-44.90208570	0.00000000	0.00000000	0.00000000
-44.89808570	0.00000000	0.00000000	0.00000000
-44.89408570	0.00000000	0.00000000	0.00000000
-44.89008570	0.00000000	0.00000000	0.00000000
-44.88608570	0.00000000	0.00000000	0.00000000
-44.88208570	0.00000000	0.00000000	0.00000000
-44.87808570	0.00000000	0.00000000	0.00000000
-44.87408570	0.00000000	0.00000000	0.00000000
-44.87008570	0.00000000	0.00000000	0.00000000
-44.86608570	0.00000000	0.00000000	0.00000000
-44.86208570	0.00000000	0.00000000	0.00000000
-44.85808570	0.00000000	0.00000000	0.00000000
-44.85408570	0.00000000	0.00000000	0.00000000
-44.85008570	0.00000000	0.00000000	0.00000000
-44.84608570	0.00000000	0.00000000	0.00000000
-44.84208570	0.00000000	0.00000000	0.00000000
-44.83808570	0.00000000	0.00000000	0.00000000
-44.83408570	0.00000000	0.00000000	0.00000000
-44.83008570	0.00000000	0.00000000	0.00000000
-44.82608570	0.00000000	0.00000000	0.00000000
-44.82208570	0.00000000	0.00000000	0.00000000
-44.81808570	0.00000000	0.00000000	0.00000000
-44.81408570	0.00000000	0.00000000	0.00000000
-44.81008570	0.00000000	0.00000000	0.00000000
-44.80608570	0.00000000	0.00000000	0.00000000
-44.80208570	0.00000000	0.00000000	0.00000000
-44.79808570	0.00000000	0.00000000	0.00000000
-44.79408570	0.00000000	0.00000000	0.00000000
-44.79008570	0.00000000	0.00000000	0.00000000
-44.78608570	0.00000000	0.00000000	0.00000000
-44.78208570	0.00000000	0.00000000	0.00000000
-44.77808570	0.00000000	0.00000000	0.00000000
-44.77408570	0.00000000	0.00000000	0.00000000
-44.77008570	0.00000000	0.00000000	0.00000000
-44.76608570	0.00000000	0.00000000	0.00000000
-44.76208570	0.00000000	0.00000000	0.00000000
-44.75808570	0.00000000	0.00000000	0.00000000
-44.75408570	0.00000000	0.00000000	0.00000000
-44.75008570	0.00000000	0.00000000	0.00000000
-44.74608570	0.00000000	0.00000000	0.00000000
-44.74208570	0.00000000	0.00000000	0.00000000
-44.73808570	0.00000000	0.00000000	0.00000000
-44.73408570	0.00000000	0.00000000	0.00000000
-44.73008570	0.00000000	0.00000000	0.00000000
-44.72608570	0.00000000	0.00000000	0.00000000
-44.72208570	0.00000000	0.00000000	0.00000000
-44.71808570	0.00000000	0.00000000	0.00000000
-44.71408570	0.00000000	0.00000000	0.00000000
-44.71008570	0.00000000	0.00000000	0.00000000
-44.70608570	0.00000000	0.00000000	0.00000000
-44.70208570	0.00000000	0.00000000	0.00000000
-44.69808570	0.00000000	0.00000000	0.00000000
-44.69408570	0.00000000	0.00000000	0.00000000
-44.69008570	0.00000000	0.00000000	0.00000000
-44.68608570	0.00000000	0.00000000	0.00000000
-44.68208570	0.00000000	0.00000000	0.00000000
-44.67808570	0.00000000	0.00000000	0.00000000
-44.67408570	0.00000000	0.00000000	0.00000000
-44.67008570	0.00000000	0.00000000	0.00000000
-44.66608570	0.00000000	0.00000000	0.00000000
-44.66208570	0.00000000	0.00000000	0.00000000
-44.65808570	0.00000000	0.00000000	0.00000000
-44.65408570	0.00000000	0.00000000	0.00000000
-44.65008570	0.00000000	0.00000000	0.00000000
-44.64608570	0.00000000	0.00000000	0.00000000
-44.64208570	0.00000000	0.00000000	0.00000000
-44.63808570	0.00000000	0.00000000	0.00000000
-44.63408570	0.00000000	0.00000000	0.00000000
-44.63008570	0.00000000	0.00000000	0.00000000
-44.62608570	0.00000000	0.00000000	0.00000000
-44.62208570	0.00000000	0.00000000	0.00000000
-44.61808570	0.00000000	0.00000000	0.00000000
-44.61408570	0.00000000	0.00000000	0.00000000
-44.61008570	0.00000000	0.00000000	0.00000000
-44.60608570	0.00000000	0.00000000	0.00000000
-44.60208570	0.00000000	0.00000000	0.00000000
-44.59808570	0.00000000	0.00000000	0.00000000
-44.59408571	0.00000000	0.00000000	0.00000000
-44.59008571	0.00000000	0.00000000	0.00000000
-44.58608571	0.00000000	0.00000000	0.00000000
-44.58208571	0.00000000	0.00000000	0.00000000
-44.57808571	0.00000000	0.00000000	0.00000000
-44.57408571	0.00000000	0.00000000	0.00000000
-44.57008571	0.00000000	0.00000000	0.00000000
-44.56608571	0.00000000	0.00000000	0.00000000
-44.56208571	0.00000000	0.00000000	0.00000000
-44.55808571	0.00000000	0.00000000	0.00000000
-44.55408571	0.00000000	0.00000000	0.00000000
-44.55008571	0.00000000	0.00000000	0.00000000
-44.54608571	0.00000000	0.00000000	0.00000000
-44.54208571	0.00000000	0.00000000	0.00000000
-44.53808571	0.00000000	0.00000000	0.00000000
-44.53408571	0.00000000	0.00000000	0.00000000
-44.53008571	0.00000000	0.00000000	0.00000000
-44.52608571	0.00000000	0.00000000	0.00000000
-44.52208571	0.00000000	0.00000000	0.00000000
-44.51808571	0.00000000	0.00000000	0.00000000
-44.51408571	0.00000000	0.00000000	0.00000000
-44.51008571	0.00000000	0.00000000	0.00000000
-44.50608571	0.00000000	0.00000000	0.00000000
-44.50208571	0.00000000	0.00000000	0.00000000
-44.49808571	0.00000000	0.00000000	0.00000000
-44.49408571	0.00000000	0.00000000	0.00000000
-44.49008571	0.00000000	0.00000000	0.00000000
-44.48608571	0.00000000	0.00000000	0.00000000
-44.48208571	0.00000000	0.00000000	0.00000000
-44.47808571	0.00000000	0.00000000	0.00000000
-44.47408571	0.00000000	0.00000000	0.00000000
-44.47008571	0.00000000	0.00000000	0.00000000
-44.46608571	0.00000000	0.00000000	0.00000000
-44.46208571	0.00000000	0.00000000	0.00000000
-44.45808571	0.00000000	0.00000000	0.00000000
-44.45408571	0.00000000	0.00000000	0.00000000
-44.45008571	0.00000000	0.00000000	0.00000000
-44.44608571	0.00000000	0.00000000	0.00000000
-44.44208571	0.00000000	0.00000000	0.00000000
-44.43808571	0.00000000	0.00000000	0.00000000
-44.43408571	0.00000000	0.00000000	0.00000000
-44.43008571	0.00000000	0.00000000	0.00000000
-44.42608571	0.00000000	0.00000000	0.00000000
-44.42208571	0.00000000	0.00000000	0.00000000
-44.41808571	0.00000000	0.00000000	0.00000000
-44.41408571	0.00000000	0.00000000	0.00000000
-44.41008571	0.00000000	0.00000000	0.00000000
-44.40608571	0.00000000	0.00000000	0.00000000
-44.40208571	0.00000000	0.00000000	0.00000000
-44.39808571	0.00000000	0.00000000	0.00000000
-44.39408571	0.00000000	0.00000000	0.00000000
-44.39008571	0.00000000	0.00000000	0.00000000
-44.38608571	0.00000000	0.00000000	0.00000000
-44.38208571	0.00000000	0.00000000	0.00000000
-44.37808571	0.00000000	0.00000000	0.00000000
-44.37408571	0.00000000	0.00000000	0.00000000
-44.37008571	0.00000000	0.00000000	0.00000000
-44.36608571	0.00000000	0.00000000	0.00000000
-44.36208571	0.00000000	0.00000000	0.00000000
-44.35808571	0.00000000	0.00000000	0.00000000
-44.35408571	0.00000000	0.00000000	0.00000000
-44.35008571	0.00000000	0.00000000	0.00000000
-44.34608571	0.00000000	0.00000000	0.00000000
-44.34208571	0.00000000	0.00000000	0.00000000
-44.33808571	0.00000000	0.00000000	0.00000000
-44.33408571	0.00000000	0.00000000	0.00000000
-44.33008571	0.00000000	0.00000000	0.00000000
-44.32608571	0.00000000	0.00000000	0.00000000
-44.32208571	0.00000000	0.00000000	0.00000000
-44.31808571	0.00000000	0.00000000	0.00000000
-44.31408571	0.00000000	0.00000000	0.00000000
-44.31008571	0.00000000	0.00000000	0.00000000
-44.30608571	0.00000000	0.00000000	0.00000000
-44.30208571	0.00000000	0.00000000	0.00000000
-44.29808571	0.00000000	0.00000000	0.00000000
-44.29408571	0.00000000	0.00000000	0.00000000
-44.29008571	0.00000000	0.00000000	0.00000000
-44.28608571	0.00000000	0.00000000	0.00000000
-44.28208571	0.00000000	0.00000000	0.00000000
-44.27808571	0.00000000	0.00000000	0.00000000
-44.27408571	0.00000000	0.00000000	0.00000000
-44.27008571	0.00000000	0.00000000	0.00000000
-44.26608571	0.00000000	0.00000000	0.00000000
-44.26208571	0.00000000	0.00000000	0.00000000
-44.25808571	0.00000000	0.00000000	0.00000000
-44.25408571	0.00000000	0.00000000	0.00000000
-44.25008571	0.00000000	0.00000000	0.00000000
-44.24608571	0.00000000	0.00000000	0.00000000
-44.24208572	0.00000000	0.00000000	0.00000000
-44.23808572	0.00000000	0.00000000	0.00000000
-44.23408572	0.00000000	0.00000000	0.00000000
-44.23008572	0.00000000	0.00000000	0.00000000
-44.22608572	0.00000000	0.00000000	0.00000000
-44.22208572	0.00000000	0.00000000	0.00000000
-44.21808572	0.00000000	0.00000000	0.00000000
-44.21408572	0.00000000	0.00000000	0.00000000
-44.21008572	0.00000000	0.00000000	0.00000000
