Time	Channel A	Channel B	Channel C
(us)	(V)	(V)	(V)

-45.00855046	0.00000000	0.00000000	0.00000000
-45.00455046	0.00000000	0.00000000	0.00000000
-45.00055046	0.00000000	0.00000000	0.00000000
-44.99655046	0.00000000	0.00000000	0.00000000
-44.99255046	0.00000000	0.00000000	0.00000000
-44.98855046	0.00000000	0.00000000	0.00000000
-44.98455046	0.00000000	0.00000000	0.00000000
-44.98055046	0.00000000	0.00000000	0.00000000
-44.97655046	0.00000000	0.00000000	0.00000000
-44.97255046	0.00000000	0.00000000	0.00000000
-44.96855046	0.00000000	0.00000000	0.00000000
-44.96455046	0.00000000	0.00000000	0.00000000
-44.96055046	0.00000000	0.00000000	0.00000000
-44.95655046	0.00000000	0.00000000	0.00000000
-44.95255046	0.00000000	0.00000000	0.00000000
-44.94855046	0.00000000	0.00000000	0.00000000
-44.94455046	0.00000000	0.00000000	0.00000000
-44.94055046	0.00000000	0.00000000	0.00000000
-44.93655046	0.00000000	0.00000000	0.00000000
-44.93255046	0.00000000	0.00000000	0.00000000
-44.92855046	0.00000000	0.00000000	0.00000000
-44.92455046	0.00000000	0.00000000	0.00000000
-44.92055046	0.00000000	0.00000000	0.00000000
-44.91655046	0.00000000	0.00000000	0.00000000
-44.91255046	0.00000000	0.00000000	0.00000000
-44.90855046	0.00000000	0.00000000	0.00000000
-44.90455046	0.00000000	0.00000000	0.00000000
-44.90055046	0.00000000	0.00000000	0.00000000
-44.89655046	0.00000000	0.00000000	0.00000000
-44.89255046	0.00000000	0.00000000	0.00000000
-44.88855046	0.00000000	0.00000000	0.00000000
-44.88455046	0.00000000	0.00000000	0.00000000
-44.88055046	0.00000000	0.00000000	0.00000000
-44.87655047	0.00000000	0.00000000	0.00000000
-44.87255047	0.00000000	0.00000000	0.00000000
-44.86855047	0.00000000	0.00000000	0.00000000
-44.86455047	0.00000000	0.00000000	0.00000000
-44.86055047	0.00000000	0.00000000	0.00000000
-44.85655047	0.00000000	0.00000000	0.00000000
-44.85255047	0.00000000	0.00000000	0.00000000
-44.84855047	0.00000000	0.00000000	0.00000000
-44.84455047	0.00000000	0.00000000	0.00000000
-44.84055047	0.00000000	0.00000000	0.00000000
-44.83655047	0.00000000	0.00000000	0.00000000
-44.83255047	0.00000000	0.00000000	0.00000000
-44.82855047	0.00000000	0.00000000	0.00000000
-44.82455047	0.00000000	0.00000000	0.00000000
-44.82055047	0.00000000	0.00000000	0.00000000
-44.81655047	0.00000000	0.00000000	0.00000000
-44.81255047	0.00000000	0.00000000	0.00000000
-44.80855047	0.00000000	0.00000000	0.00000000
-44.80455047	0.00000000	0.00000000	0.00000000
-44.80055047	0.00000000	0.00000000	0.00000000
-44.79655047	0.00000000	0.00000000	0.00000000
-44.79255047	0.00000000	0.00000000	0.00000000
-44.78855047	0.00000000	0.00000000	0.00000000
-44.78455047	0.00000000	0.00000000	0.00000000
-44.78055047	0.00000000	0.00000000	0.00000000
-44.77655047	0.00000000	0.00000000	0.00000000
-44.77255047	0.00000000	0.00000000	0.00000000
-44.76855047	0.00000000	0.00000000	0.00000000
-44.76455047	0.00000000	0.00000000	0.00000000
-44.76055047	0.00000000	0.00000000	0.00000000
-44.75655047	0.00000000	0.00000000	0.00000000
-44.75255047	0.00000000	0.00000000	0.00000000
-44.74855047	0.00000000	0.00000000	0.00000000
-44.74455047	0.00000000	0.00000000	0.00000000
-44.74055047	0.00000000	0.00000000	0.00000000
-44.73655047	0.00000000	0.00000000	0.00000000
-44.73255047	0.00000000	0.00000000	0.00000000
-44.72855047	0.00000000	0.00000000	0.00000000
-44.72455047	0.00000000	0.00000000	0.00000000
-44.72055047	0.00000000	0.00000000	0.00000000
-44.71655047	0.00000000	0.00000000	0.00000000
-44.71255047	0.00000000	0.00000000	0.00000000
-44.70855047	0.00000000	0.00000000	0.00000000
-44.70455047	0.00000000	0.00000000	0.00000000
-44.70055047	0.00000000	0.00000000	0.00000000
-44.69655047	0.00000000	0.00000000	0.00000000
-44.69255047	0.00000000	0.00000000	0.00000000
-44.68855047	0.00000000	0.00000000	0.00000000
-44.68455047	0.00000000	0.00000000	0.00000000
-44.68055047	0.00000000	0.00000000	0.00000000
-44.67655047	0.00000000	0.00000000	0.00000000
-44.67255047	0.00000000	0.00000000	0.00000000
-44.66855047	0.00000000	0.00000000	0.00000000
-44.66455047	0.00000000	0.00000000	0.00000000
-44.66055047	0.00000000	0.00000000	0.00000000
-44.65655047	0.00000000	0.00000000	0.00000000
-44.65255047	0.00000000	0.00000000	0.00000000
-44.64855047	0.00000000	0.00000000	0.00000000
-44.64455047	0.00000000	0.00000000	0.00000000
-44.64055047	0.00000000	0.00000000	0.00000000
-44.63655047	0.00000000	0.00000000	0.00000000
-44.63255047	0.00000000	0.00000000	0.00000000
-44.62855047	0.00000000	0.00000000	0.00000000
-44.62455047	0.00000000	0.00000000	0.00000000
-44.62055047	0.00000000	0.00000000	0.00000000
-44.61655047	0.00000000	0.00000000	0.00000000
-44.61255047	0.00000000	0.00000000	0.00000000
-44.60855047	0.00000000	0.00000000	0.00000000
-44.60455047	0.00000000	0.00000000	0.00000000
-44.60055047	0.00000000	0.00000000	0.00000000
-44.59655047	0.00000000	0.00000000	0.00000000
-44.59255047	0.00000000	0.00000000	0.00000000
-44.58855047	0.00000000	0.00000000	0.00000000
-44.58455047	0.00000000	0.00000000	0.00000000
-44.58055047	0.00000000	0.00000000	0.00000000
-44.57655047	0.00000000	0.00000000	0.00000000
-44.57255047	0.00000000	0.00000000	0.00000000
-44.56855047	0.00000000	0.00000000	0.00000000
-44.56455047	0.00000000	0.00000000	0.00000000
-44.56055047	0.00000000	0.00000000	0.00000000
-44.55655047	0.00000000	0.00000000	0.00000000
-44.55255047	0.00000000	0.00000000	0.00000000
-44.54855047	0.00000000	0.00000000	0.00000000
-44.54455047	0.00000000	0.00000000	0.00000000
-44.54055047	0.00000000	0.00000000	0.00000000
-44.53655047	0.00000000	0.00000000	0.00000000
-44.53255047	0.00000000	0.00000000	0.00000000
-44.52855047	0.00000000	0.00000000	0.00000000
-44.52455047	0.00000000	0.00000000	0.00000000
-44.52055048	0.00000000	0.00000000	0.00000000
-44.51655048	0.00000000	0.00000000	0.00000000
-44.51255048	0.00000000	0.00000000	0.00000000
-44.50855048	0.00000000	0.00000000	0.00000000
-44.50455048	0.00000000	0.00000000	0.00000000
-44.50055048	0.00000000	0.00000000	0.00000000
-44.49655048	0.00000000	0.00000000	0.00000000
-44.49255048	0.00000000	0.00000000	0.00000000
-44.48855048	0.00000000	0.00000000	0.00000000
-44.48455048	0.00000000	0.00000000	0.00000000
-44.48055048	0.00000000	0.00000000	0.00000000
-44.47655048	0.00000000	0.00000000	0.00000000
-44.47255048	0.00000000	0.00000000	0.00000000
-44.46855048	0.00000000	0.00000000	0.00000000
-44.46455048	0.00000000	0.00000000	0.00000000
-44.46055048	0.00000000	0.00000000	0.00000000
-44.45655048	0.00000000	0.00000000	0.00000000
-44.45255048	0.00000000	0.00000000	0.00000000
-44.44855048	0.00000000	0.00000000	0.00000000
-44.44455048	0.00000000	0.00000000	0.00000000
-44.44055048	0.00000000	0.00000000	0.00000000
-44.43655048	0.00000000	0.00000000	0.00000000
-44.43255048	0.00000000	0.00000000	0.00000000
-44.42855048	0.00000000	0.00000000	0.00000000
-44.42455048	0.00000000	0.00000000	0.00000000
-44.42055048	0.00000000	0.00000000	0.00000000
-44.41655048	0.00000000	0.00000000	0.00000000
-44.41255048	0.00000000	0.00000000	0.00000000
-44.40855048	0.00000000	0.00000000	0.00000000
-44.40455048	0.00000000	0.00000000	0.00000000
-44.40055048	0.00000000	0.00000000	0.00000000
-44.39655048	0.00000000	0.00000000	0.00000000
-44.39255048	0.00000000	0.00000000	0.00000000
-44.38855048	0.00000000	0.00000000	0.00000000
-44.38455048	0.00000000	0.00000000	0.00000000
-44.38055048	0.00000000	0.00000000	0.00000000
-44.37655048	0.00000000	0.00000000	0.00000000
-44.37255048	0.00000000	0.00000000	0.00000000
-44.36855048	0.00000000	0.00000000	0.00000000
-44.36455048	0.00000000	0.00000000	0.00000000
-44.36055048	0.00000000	0.00000000	0.00000000
-44.35655048	0.00000000	0.00000000	0.00000000
-44.35255048	0.00000000	0.00000000	0.00000000
-44.34855048	0.00000000	0.00000000	0.00000000
-44.34455048	0.00000000	0.00000000	0.00000000
-44.34055048	0.00000000	0.00000000	0.00000000
-44.33655048	0.00000000	0.00000000	0.00000000
-44.33255048	0.00000000	0.00000000	0.00000000
-44.32855048	0.00000000	0.00000000	0.00000000
-44.32455048	0.00000000	0.00000000	0.00000000
-44.32055048	0.00000000	0.00000000	0.00000000
-44.31655048	0.00000000	0.00000000	0.00000000
-44.31255048	0.00000000	0.00000000	0.00000000
-44.30855048	0.00000000	0.00000000	0.00000000
-44.30455048	0.00000000	0.00000000	0.00000000
-44.30055048	0.00000000	0.00000000	0.00000000
-44.29655048	0.00000000	0.00000000	0.00000000
-44.29255048	0.00000000	0.00000000	0.00000000
-44.28855048	0.00000000	0.00000000	0.00000000
-44.28455048	0.00000000	0.00000000	0.00000000
-44.28055048	0.00000000	0.00000000	0.00000000
-44.27655048	0.00000000	0.00000000	0.00000000
-44.27255048	0.00000000	0.00000000	0.00000000
-44.26855048	0.00000000	0.00000000	0.00000000
-44.26455048	0.00000000	0.00000000	0.00000000
-44.26055048	0.00000000	0.00000000	0.00000000
-44.25655048	0.00000000	0.00000000	0.00000000
-44.25255048	0.00000000	0.00000000	0.00000000
-44.24855048	0.00000000	0.00000000	0.00000000
-44.24455048	0.00000000	0.00000000	0.00000000
-44.24055048	0.00000000	0.00000000	0.00000000
-44.23655048	0.00000000	0.00000000	0.00000000
-44.23255048	0.00000000	0.00000000	0.00000000
-44.22855048	0.00000000	0.00000000	0.00000000
-44.22455048	0.00000000	0.00000000	0.00000000
-44.22055048	0.00000000	0.00000000	0.00000000
-44.21655048	0.00000000	0.00000000	0.00000000
-44.21255048	0.00000000	0.00000000	0.00000000
-44.20855048	0.00000000	0.00000000	0.00000000
