Time	Channel A	Channel B	Channel C
(us)	(V)	(V)	(V)

-45.00985240	0.00000000	0.00000000	0.00000000
-45.00585240	0.00000000	0.00000000	0.00000000
-45.00185240	0.00000000	0.00000000	0.00000000
-44.99785240	0.00000000	0.00000000	0.00000000
-44.99385240	0.00000000	0.00000000	0.00000000
-44.98985240	0.00000000	0.00000000	0.00000000
-44.98585240	0.00000000	0.00000000	0.00000000
-44.98185240	0.00000000	0.00000000	0.00000000
-44.97785240	0.00000000	0.00000000	0.00000000
-44.97385240	0.00000000	0.00000000	0.00000000
-44.96985240	0.00000000	0.00000000	0.00000000
-44.96585240	0.00000000	0.00000000	0.00000000
-44.96185240	0.00000000	0.00000000	0.00000000
-44.95785240	0.00000000	0.00000000	0.00000000
-44.95385240	0.00000000	0.00000000	0.00000000
-44.94985240	0.00000000	0.00000000	0.00000000
-44.94585240	0.00000000	0.00000000	0.00000000
-44.94185240	0.00000000	0.00000000	0.00000000
-44.93785240	0.00000000	0.00000000	0.00000000
-44.93385240	0.00000000	0.00000000	0.00000000
-44.92985240	0.00000000	0.00000000	0.00000000
-44.92585240	0.00000000	0.00000000	0.00000000
-44.92185240	0.00000000	0.00000000	0.00000000
-44.91785240	0.00000000	0.00000000	0.00000000
-44.91385240	0.00000000	0.00000000	0.00000000
-44.90985240	0.00000000	0.00000000	0.00000000
-44.90585240	0.00000000	0.00000000	0.00000000
-44.90185240	0.00000000	0.00000000	0.00000000
-44.89785240	0.00000000	0.00000000	0.00000000
-44.89385240	0.00000000	0.00000000	0.00000000
-44.88985240	0.00000000	0.00000000	0.00000000
-44.88585240	0.00000000	0.00000000	0.00000000
-44.88185240	0.00000000	0.00000000	0.00000000
-44.87785240	0.00000000	0.00000000	0.00000000
-44.87385240	0.00000000	0.00000000	0.00000000
-44.86985240	0.00000000	0.00000000	0.00000000
-44.86585240	0.00000000	0.00000000	0.00000000
-44.86185240	0.00000000	0.00000000	0.00000000
-44.85785240	0.00000000	0.00000000	0.00000000
-44.85385240	0.00000000	0.00000000	0.00000000
-44.84985240	0.00000000	0.00000000	0.00000000
-44.84585240	0.00000000	0.00000000	0.00000000
-44.84185240	0.00000000	0.00000000	0.00000000
-44.83785240	0.00000000	0.00000000	0.00000000
-44.83385240	0.00000000	0.00000000	0.00000000
-44.82985240	0.00000000	0.00000000	0.00000000
-44.82585240	0.00000000	0.00000000	0.00000000
-44.82185240	0.00000000	0.00000000	0.00000000
-44.81785240	0.00000000	0.00000000	0.00000000
-44.81385240	0.00000000	0.00000000	0.00000000
-44.80985240	0.00000000	0.00000000	0.00000000
-44.80585240	0.00000000	0.00000000	0.00000000
-44.80185240	0.00000000	0.00000000	0.00000000
-44.79785240	0.00000000	0.00000000	0.00000000
-44.79385240	0.00000000	0.00000000	0.00000000
-44.78985240	0.00000000	0.00000000	0.00000000
-44.78585240	0.00000000	0.00000000	0.00000000
-44.78185240	0.00000000	0.00000000	0.00000000
-44.77785240	0.00000000	0.00000000	0.00000000
-44.77385240	0.00000000	0.00000000	0.00000000
-44.76985240	0.00000000	0.00000000	0.00000000
-44.76585240	0.00000000	0.00000000	0.00000000
-44.76185240	0.00000000	0.00000000	0.00000000
-44.75785240	0.00000000	0.00000000	0.00000000
-44.75385240	0.00000000	0.00000000	0.00000000
-44.74985240	0.00000000	0.00000000	0.00000000
-44.74585240	0.00000000	0.00000000	0.00000000
-44.74185240	0.00000000	0.00000000	0.00000000
-44.73785240	0.00000000	0.00000000	0.00000000
-44.73385240	0.00000000	0.00000000	0.00000000
-44.72985240	0.00000000	0.00000000	0.00000000
-44.72585240	0.00000000	0.00000000	0.00000000
-44.72185240	0.00000000	0.00000000	0.00000000
-44.71785240	0.00000000	0.00000000	0.00000000
-44.71385240	0.00000000	0.00000000	0.00000000
-44.70985240	0.00000000	0.00000000	0.00000000
-44.70585240	0.00000000	0.00000000	0.00000000
-44.70185240	0.00000000	0.00000000	0.00000000
-44.69785240	0.00000000	0.00000000	0.00000000
-44.69385240	0.00000000	0.00000000	0.00000000
-44.68985240	0.00000000	0.00000000	0.00000000
-44.68585240	0.00000000	0.00000000	0.00000000
-44.68185240	0.00000000	0.00000000	0.00000000
-44.67785240	0.00000000	0.00000000	0.00000000
-44.67385240	0.00000000	0.00000000	0.00000000
-44.66985240	0.00000000	0.00000000	0.00000000
-44.66585241	0.00000000	0.00000000	0.00000000
-44.66185241	0.00000000	0.00000000	0.00000000
-44.65785241	0.00000000	0.00000000	0.00000000
-44.65385241	0.00000000	0.00000000	0.00000000
-44.64985241	0.00000000	0.00000000	0.00000000
-44.64585241	0.00000000	0.00000000	0.00000000
-44.64185241	0.00000000	0.00000000	0.00000000
-44.63785241	0.00000000	0.00000000	0.00000000
-44.63385241	0.00000000	0.00000000	0.00000000
-44.62985241	0.00000000	0.00000000	0.00000000
-44.62585241	0.00000000	0.00000000	0.00000000
-44.62185241	0.00000000	0.00000000	0.00000000
-44.61785241	0.00000000	0.00000000	0.00000000
-44.61385241	0.00000000	0.00000000	0.00000000
-44.60985241	0.00000000	0.00000000	0.00000000
-44.60585241	0.00000000	0.00000000	0.00000000
-44.60185241	0.00000000	0.00000000	0.00000000
-44.59785241	0.00000000	0.00000000	0.00000000
-44.59385241	0.00000000	0.00000000	0.00000000
-44.58985241	0.00000000	0.00000000	0.00000000
-44.58585241	0.00000000	0.00000000	0.00000000
-44.58185241	0.00000000	0.00000000	0.00000000
-44.57785241	0.00000000	0.00000000	0.00000000
-44.57385241	0.00000000	0.00000000	0.00000000
-44.56985241	0.00000000	0.00000000	0.00000000
-44.56585241	0.00000000	0.00000000	0.00000000
-44.56185241	0.00000000	0.00000000	0.00000000
-44.55785241	0.00000000	0.00000000	0.00000000
-44.55385241	0.00000000	0.00000000	0.00000000
-44.54985241	0.00000000	0.00000000	0.00000000
-44.54585241	0.00000000	0.00000000	0.00000000
-44.54185241	0.00000000	0.00000000	0.00000000
-44.53785241	0.00000000	0.00000000	0.00000000
-44.53385241	0.00000000	0.00000000	0.00000000
-44.52985241	0.00000000	0.00000000	0.00000000
-44.52585241	0.00000000	0.00000000	0.00000000
-44.52185241	0.00000000	0.00000000	0.00000000
-44.51785241	0.00000000	0.00000000	0.00000000
-44.51385241	0.00000000	0.00000000	0.00000000
-44.50985241	0.00000000	0.00000000	0.00000000
-44.50585241	0.00000000	0.00000000	0.00000000
-44.50185241	0.00000000	0.00000000	0.00000000
-44.49785241	0.00000000	0.00000000	0.00000000
-44.49385241	0.00000000	0.00000000	0.00000000
-44.48985241	0.00000000	0.00000000	0.00000000
-44.48585241	0.00000000	0.00000000	0.00000000
-44.48185241	0.00000000	0.00000000	0.00000000
-44.47785241	0.00000000	0.00000000	0.00000000
-44.47385241	0.00000000	0.00000000	0.00000000
-44.46985241	0.00000000	0.00000000	0.00000000
-44.46585241	0.00000000	0.00000000	0.00000000
-44.46185241	0.00000000	0.00000000	0.00000000
-44.45785241	0.00000000	0.00000000	0.00000000
-44.45385241	0.00000000	0.00000000	0.00000000
-44.44985241	0.00000000	0.00000000	0.00000000
-44.44585241	0.00000000	0.00000000	0.00000000
-44.44185241	0.00000000	0.00000000	0.00000000
-44.43785241	0.00000000	0.00000000	0.00000000
-44.43385241	0.00000000	0.00000000	0.00000000
-44.42985241	0.00000000	0.00000000	0.00000000
-44.42585241	0.00000000	0.00000000	0.00000000
-44.42185241	0.00000000	0.00000000	0.00000000
-44.41785241	0.00000000	0.00000000	0.00000000
-44.41385241	0.00000000	0.00000000	0.00000000
-44.40985241	0.00000000	0.00000000	0.00000000
-44.40585241	0.00000000	0.00000000	0.00000000
-44.40185241	0.00000000	0.00000000	0.00000000
-44.39785241	0.00000000	0.00000000	0.00000000
-44.39385241	0.00000000	0.00000000	0.00000000
-44.38985241	0.00000000	0.00000000	0.00000000
-44.38585241	0.00000000	0.00000000	0.00000000
-44.38185241	0.00000000	0.00000000	0.00000000
-44.37785241	0.00000000	0.00000000	0.00000000
-44.37385241	0.00000000	0.00000000	0.00000000
-44.36985241	0.00000000	0.00000000	0.00000000
-44.36585241	0.00000000	0.00000000	0.00000000
-44.36185241	0.00000000	0.00000000	0.00000000
-44.35785241	0.00000000	0.00000000	0.00000000
-44.35385241	0.00000000	0.00000000	0.00000000
-44.34985241	0.00000000	0.00000000	0.00000000
-44.34585241	0.00000000	0.00000000	0.00000000
-44.34185241	0.00000000	0.00000000	0.00000000
-44.33785241	0.00000000	0.00000000	0.00000000
-44.33385241	0.00000000	0.00000000	0.00000000
-44.32985241	0.00000000	0.00000000	0.00000000
-44.32585241	0.00000000	0.00000000	0.00000000
-44.32185241	0.00000000	0.00000000	0.00000000
-44.31785241	0.00000000	0.00000000	0.00000000
-44.31385241	0.00000000	0.00000000	0.00000000
-44.30985242	0.00000000	0.00000000	0.00000000
-44.30585242	0.00000000	0.00000000	0.00000000
-44.30185242	0.00000000	0.00000000	0.00000000
-44.29785242	0.00000000	0.00000000	0.00000000
-44.29385242	0.00000000	0.00000000	0.00000000
-44.28985242	0.00000000	0.00000000	0.00000000
-44.28585242	0.00000000	0.00000000	0.00000000
-44.28185242	0.00000000	0.00000000	0.00000000
-44.27785242	0.00000000	0.00000000	0.00000000
-44.27385242	0.00000000	0.00000000	0.00000000
-44.26985242	0.00000000	0.00000000	0.00000000
-44.26585242	0.00000000	0.00000000	0.00000000
-44.26185242	0.00000000	0.00000000	0.00000000
-44.25785242	0.00000000	0.00000000	0.00000000
-44.25385242	0.00000000	0.00000000	0.00000000
-44.24985242	0.00000000	0.00000000	0.00000000
-44.24585242	0.00000000	0.00000000	0.00000000
-44.24185242	0.00000000	0.00000000	0.00000000
-44.23785242	0.00000000	0.00000000	0.00000000
-44.23385242	0.00000000	0.00000000	0.00000000
-44.22985242	0.00000000	0.00000000	0.00000000
-44.22585242	0.00000000	0.00000000	0.00000000
-44.22185242	0.00000000	0.00000000	0.00000000
-44.21785242	0.00000000	0.00000000	0.00000000
-44.21385242	0.00000000	0.00000000	0.00000000
-44.20985242	0.00000000	0.00000000	0.00000000
